23.09.2026                                   Salida dinámica de lista                                                                                        1


		Material	Alm.	Grupo art.	Texto breve material	UMB	LibrUtiliz	Insp.cal.	Bloqueado	Valor libre util.	Valor en insp.cal.	Valor stock bloq.
		266087	0280	MGR052	UNI TAMAÑO 1/3 CARTA ADHESIVO R/A/V	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266088	0230	MGR052	MARBETE IDENTI MAQUINA COLOR R/A/V	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266088	0231	MGR052	MARBETE IDENTI MAQUINA COLOR R/A/V	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266088	0280	MGR052	MARBETE IDENTI MAQUINA COLOR R/A/V	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266089	0230	MGR052	PERMISO DE TRABAJO EN RIESGO	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266089	0231	MGR052	PERMISO DE TRABAJO EN RIESGO	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266089	0280	MGR052	PERMISO DE TRABAJO EN RIESGO	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266205	0230	MGR052	TALONARIOS DE CHECK LIST DE CAMION	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266205	0231	MGR052	TALONARIOS DE CHECK LIST DE CAMION	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266205	0280	MGR052	TALONARIOS DE CHECK LIST DE CAMION	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266206	0230	MGR052	CHECK LIST DE CAMIONES	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266206	0231	MGR052	CHECK LIST DE CAMIONES	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266206	0280	MGR052	CHECK LIST DE CAMIONES	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266207	0230	MGR052	CHECK LIST MONTACARGA	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266207	0231	MGR052	CHECK LIST MONTACARGA	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266207	0280	MGR052	CHECK LIST MONTACARGA	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266208	0230	MGR052	CONTROL DE PILOTOS	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266208	0231	MGR052	CONTROL DE PILOTOS	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266208	0280	MGR052	CONTROL DE PILOTOS	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266209	0230	MGR052	MARBETE DE TARIMA	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266209	0231	MGR052	MARBETE DE TARIMA	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266209	0280	MGR052	MARBETE DE TARIMA	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266217	0230	MGR052	ROTULOS MULTIMEDIA	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266217	0231	MGR052	ROTULOS MULTIMEDIA	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266217	0280	MGR052	ROTULOS MULTIMEDIA	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266218	0230	MGR052	TC BOLETA DE COMBUSTIBLE TAMAÑO 1/4	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266218	0231	MGR052	TC BOLETA DE COMBUSTIBLE TAMAÑO 1/4	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266218	0280	MGR052	TC BOLETA DE COMBUSTIBLE TAMAÑO 1/4	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266570	0280	MGR054	TOALLA SCOTT DURAMAX	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266634	0230	MGR051	MICROONDAS	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266634	0231	MGR051	MICROONDAS	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266634	0280	MGR051	MICROONDAS	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266860	0230	MOP001	AIRE ACONDICIONADO SPLIT DE PARED 18000	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266860	0231	MOP001	AIRE ACONDICIONADO SPLIT DE PARED 18000	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266982	0230	MRE108	PAPEL TESTO AG PRUEBAOPACIDAD 0554.0308	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266982	0231	MRE108	PAPEL TESTO AG PRUEBAOPACIDAD 0554.0308	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266982	0280	MRE108	PAPEL TESTO AG PRUEBAOPACIDAD 0554.0308	UN	        0	       0	       0	            0.00	             0.00	            0.00
		267108	0230	MGR053	BROCA SIERRA JUEGO DE 5 UNIDADES	UN	        0	       0	       0	            0.00	             0.00	            0.00
		267108	0231	MGR053	BROCA SIERRA JUEGO DE 5 UNIDADES	UN	        0	       0	       0	            0.00	             0.00	            0.00
		267108	0280	MGR053	BROCA SIERRA JUEGO DE 5 UNIDADES	UN	        0	       0	       0	            0.00	             0.00	            0.00
		267441	0230	MGR053	BASURERO GRANDE	UN	        0	       0	       0	            0.00	             0.00	            0.00
		267441	0231	MGR053	BASURERO GRANDE	UN	        0	       0	       0	            0.00	             0.00	            0.00
		269328	0230	MGR053	LECTOR DE CODIGOS DE BARRA	UN	        0	       0	       0	            0.00	             0.00	            0.00
		269328	0231	MGR053	LECTOR DE CODIGOS DE BARRA	UN	        0	       0	       0	            0.00	             0.00	            0.00
		269793	0230	MGR050	IDP COMBUSTIBLES	GLN	        0	       0	       0	            0.00	             0.00	            0.00
		269793	0231	MGR050	IDP COMBUSTIBLES	GLN	        0	       0	       0	            0.00	             0.00	            0.00
		270081	0230	MGR053	LUCES ESTROBOSCOPICAS DE SEÑALIZACIÓN	UN	        0	       0	       0	            0.00	             0.00	            0.00
		270081	0231	MGR053	LUCES ESTROBOSCOPICAS DE SEÑALIZACIÓN	UN	        0	       0	       0	            0.00	             0.00	            0.00
		270081	0280	MGR053	LUCES ESTROBOSCOPICAS DE SEÑALIZACIÓN	UN	        0	       0	       0	            0.00	             0.00	            0.00
		270151	0230	MGR053	CIZALLA CORTA PERNO 24"	UN	        0	       0	       0	            0.00	             0.00	            0.00
		270151	0231	MGR053	CIZALLA CORTA PERNO 24"	UN	        0	       0	       0	            0.00	             0.00	            0.00
		270151	0280	MGR053	CIZALLA CORTA PERNO 24"	UN	        0	       0	       0	            0.00	             0.00	            0.00
		270619	0230	MOP003	REFRIGERANTE R-134A, 30 LBS (02)	UN	        0	       0	       0	            0.00	             0.00	            0.00
		270619	0231	MOP003	REFRIGERANTE R-134A, 30 LBS (02)	UN	        0	       0	       0	            0.00	             0.00	            0.00
		270619	0280	MOP003	REFRIGERANTE R-134A, 30 LBS (02)	UN	        0	       0	       0	            0.00	             0.00	            0.00
		271406	0230	MRE011	JUEGO DE BROCAS PARA CONCRETO	UN	        0	       0	       0	            0.00	             0.00	            0.00
		271406	0231	MRE011	JUEGO DE BROCAS PARA CONCRETO	UN	        0	       0	       0	            0.00	             0.00	            0.00
		271406	0280	MRE011	JUEGO DE BROCAS PARA CONCRETO	UN	        0	       0	       0	            0.00	             0.00	            0.00
		271682	0230	MGR051	PISTOLA PARA PINTAR	UN	        0	       0	       0	            0.00	             0.00	            0.00
		273099	0230	MGR053	MANGUERA PLASTICA DE 3/4 TRANSPARENTE	UN	        0	       0	       0	            0.00	             0.00	            0.00
		273099	0231	MGR053	MANGUERA PLASTICA DE 3/4 TRANSPARENTE	UN	        0	       0	       0	            0.00	             0.00	            0.00
